day,time,name,image,description
FR,17:00,Futari,,Anna und Aaron spielen als Jazz-Duo mit Klavier und Gesang.
FR,18:00,Die Brehmes',diebrehmes.jpg,"Die Brehmes’ sind eine Amateurformation (Sextett), die ihren Sitz in Berlin-Pankow in der Brehmestraße hat (Probe- und Aufnahmeraum). Sie spielen am liebsten Bebop- und West-Coast-Titel, verachten aber auch klassischen Swing nicht."
FR,19:00,Kleiner Held,kleinerheld.jpg,"Fünf Berliner Originale mit Bock auf Rock. Laut, direkt, ehrlich. Wir nehmen kein Blatt vor den Mund denn: Der Ton macht die Musik !"
FR,20:00,Circus Rhapsody,circusrhapsody.avif,"Bereiten Sie sich auf ein elektrisierendes Klangerlebnis vor, wenn die deutsche Sensation Circus Rhapsody mit ihrer genreübergreifenden Mischung aus Ska, Punk und Rock'n'Roll die Bühne stürmt.
 Circus Rhapsody aus Berlin sind nicht einfach nur eine Band, sie sind ein tumultiger Karneval der Klänge auf Achterbahnfahrt durch ihre einzigartige Musiklandschaft, die das Publikum begeistert und Lust auf mehr macht. Mit ansteckender Energie, der richtigen Menge an Zuckerwatte und einer furchtlosen Fusion von Genres schaffen sie eine Atmosphäre, die sich den Erwartungen entzieht, in der die Zirkusfamilie auf das Chaos trifft und das Unerwartete feiert."
FR,21:00,Blue Saloon,bluesaloon.jpg,"Blue Saloon sind musikalische Seelenverwandte. Die beiden Sänger Alex und Moritz haben die Band 2014 in Berlin gegründet. Nach Besetzungswechseln und Umzügen versteht sich Blue Saloon inzwischen als Kollektiv. Neu dabei sind Leadgitarrist Benny und neuerdings auch Ruben am Bass.
 Die Folk- und Rockmusik der 60er und 70er Jahre liegt der Band besonders am Herzen. In ihren Songs erzählen sie vom Leben in der Großstadt, von der Liebe und davon, sich selbst treu zu bleiben. Man merkt ihnen an, dass sie gerne herumphilosophieren und ihre Texte mit Bedacht schreiben. Heraus kommt eine schön verpackte Mischung aus guter Laune und Melancholie. Blue Saloon haben bisher ein Album und mehrere Singles veröffentlicht."
FR,22:00,Yooshton und Samoh,,"Als ausgewiesenes Fachpersonal für nächtlichen Schabernack, getönte Stadt-Fassaden, textlichen Aderlass und dröhnende Drum-Passagen dribbeln Samoh und Yooshton locker & leicht auf die Bühne und fragen nach dem Kühlschrank. Denn was schon nach Rap riecht und auf der Bühne später heiß & fettig serviert wird, muss mit kalter Gerstensuppe abgelöscht werden. Gefunden haben sich die beiden mit Talenten von MPC-Kurbelei bis Flanken schlagen, auf einer Lichtung im urbanen Dschungel von Magdeburg. Mit Kopfnickerei als gemeinsamem Dancemove wurde Magdeboogie schnell zur Basis und seither operiert die Bande im Zeichen des Funks im Bundesgebiet."
SA,13:00,Kindertheater,,"Im Rahmen der mittlerweile 5ten Sommerschule der Neuen Nachbarschaft haben Kinder, geleitet durch Theaterschaffende, ein kurzes Theaterstück entwickelt. Mit viel Fantasie entstand ein Stück, das nun auf der Bühne präsentiert wird. Die kleinen Stars freuen sich auf ihrere Premiere!"
SA,13:30,Kinderchor,,"Die Kinder-Gesangsgruppe der Neuen Nachbarschaft/Moabit präsentiert drei kurze musikalische Beiträge. Mit Begeisterung und Freude am gemeinsamen Singen bringen die Kinder Lieder auf die Bühne, die von Gemeinschaft, Vielfalt und Lebensfreude erzählen."
SA,14:00,Christin Rohr,,
SA,15:00,Eine musikalische Piratenreise,,Workshop zu musikalischer Geschichtenerzählung mit Kurt König für Kinder von 6-14 Jahren. Kostenfrei. Keine Vorkenntnisse erforderlich. Dauer ca. 45 Minuten mit anschließender Aufführung auf der Bühne (ca. 20-30 Minuten). Um Voranmeldung wird gebeten unter: kulturinselmoabit@gmail.com
SA,15:30,Noah und Safa,,Ausgestattet mit Oud und Riq versorgen uns Noah und Safa mit arabischen Klängen.
SA,16:00,Julius Kayser,juliuskayser.jpg,"Träum weiter! Dazu lädt Julius Kayser ein, deutscher Liedermacher und Musiker. Seine Musik geht tief, und will dort berühren, wo wir am berührbarsten sind: in unseren Träumen vom Leben und der Liebe. Deeper Shit - total sanft verpackt!"
